df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
15,,3.522,4.182,4.589,4.885,5.118,5.309,5.471 ,5.612,5.737,5.848,5.949,6.041,6.125,6.203,6.276,,6.407,,6.523,,6.628,,6.723,,6.809,,6.889,,6.962,,7.031,,7.095,,7.155,,7.212,,7.265,,,,,,,,,,7.496,,,,,,,,,,7.682,,,,,,,,,,7.837,,,,,,,,,,7.370,,,,,,,,,,8.086,,,,,,,,,,8.189
16,,3.498,4.148,4.548,4.838,5.066,9.253,5.412,5.550,5.672,5.781,5.879,5.969,6.052,6.128,6.199,,6.328,,6.441,,6.543,,6.636,,6.721,,6.799,,6.870,,6.938,,7.000,,7.059,,7.115,,7.167,,,,,,,,,,7.393,,,,,,,,,,7.574 ,,,,,,,,,,7.726,,,,,,,,,,7.856,,,,,,,,,,7.969,,,,,,,,,,8.070
17,,3.477,4.118,4.512 ,4.797,5.020,5.204,5.361,5.496,5.615,5.722,5.818,5.907,5.987,6.062,6.132,,6.258,,6.370,,6.469,,6.560,,6.644,,6.720,,6.730,,6.856,,6.917,,6.975,,7.030,,7.081,,,,,,,,,,7.302,,,,,,,,,,7.480,,,,,,,,,,7.628,,,,,,,,,,7.756,,,,,,,,,,7.868,,,,,,,,,,7.366
18,,3.458,4.092,4.48,4.761 ,4.981,5.162,9.315,5.448,5.565,5.670,5.765,5.852,5.931,6.004,6.073,,6.197,,6.306,,6.404,,6.693,,6.575,,6.650,,6.720,,6.784,,6.844,,6.300,,6.954,,7.005,,,,,,,,,,7.221 ,,,,,,,,,,7.396,,,,,,,,,,7.543 ,,,,,,,,,,7.667,,,,,,,,,,7.777,,,,,,,,,,7.874
19,,3.482,4.068,4.451,4.728,4.945,9.123,5.275,5.405,5.521,5.624,5.718,5.803,5.881,5.954,6.020,,6.142,,6.250,,6.347,,6.434,,6.514,,6.588,,6.656,,6.719,,6.779,,6.835,,6.887,,6.936,,,,,,,,,,7.150,,,,,,,,,,7.322,,,,,,,,,,7.465,,,,,,,,,,7.589,,,,,,,,,,7.696,,,,,,,,,,7.792
20,,3.427,4.047,4.426,4.700,4.914 ,5.089,9.238,5.368,5.481,5.583,5.675,5.759,5.836,5.907,5.974,,6.093,,6.200,,6.295,,6.381,,6.460,,6.532,,6.600,,6.662,,6.720,,6.775,,6.827,,6.876,,,,,,,,,,7.086,,,,,,,,,,7.255,,,,,,,,,,7.397,,,,,,,,,,7.518 ,,,,,,,,,,7.624,,,,,,,,,,7.718
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,3.381,3.983,4.347,4.610,4.816,4.984,5.216,5.250,5.358,5.455,5.543,5.623,5.697,5.764,5.827,,5.941,,6.043,,6.133,,6.215,,6.230,,6.359,,6.423,,6.482,,6.538,,6.589,,6.639,,6.685,,,,,,,,,,6.885,,,,,,,,,,7.046,,,,,,,,,,7.180,,,,,,,,,,7.296,,,,,,,,,,7.397,,,,,,,,,,7.486
