df,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 
12 ,,4.320 ,5.046 ,5.502 ,5.836 ,6.101 ,6.320 ,6.507 ,6.670 ,6.814 ,6.943 ,7.060 ,7.166 ,7.265 ,7.356 ,7.441 ,7.520 ,7.594 ,7.664 ,7.730 ,,7.853 ,,7.964 ,,8.066 ,,8.159 ,,8.246 ,,8.327 ,,8.402 ,,8.473 ,,8.539 ,,8.603 ,,,,,,,,,,8.875 ,,,,,,,,,,9.094 ,,,,,,,,,,9.277 ,,,,,,,,,,9.434 ,,,,,,,,,,9.571 ,,,,,,,,,,9.693 
13 ,,4.260 ,4.964 ,5.404 ,5.726 ,5.981 ,6.192 ,6.372 ,6.528 ,6.666 ,6.791 ,6.903 ,7.006 ,7.100 ,7.188 ,7.269 ,7.345 ,7.417 ,7.484 ,7.548 ,,7.665 ,,7.772 ,,7.870 ,,7.360 ,,8.043 ,,8.121 ,,8.193 ,,8.262 ,,8.326 ,,8.387 ,,,,,,,,,,8.648 ,,,,,,,,,,8.859 ,,,,,,,,,,9.035 ,,,,,,,,,,9.187 ,,,,,,,,,,9.318 ,,,,,,,,,,9.436 
14 ,,4.210 ,4.395 ,9.322 ,5.634 ,5.881 ,6.085 ,6.258 ,6.409 ,6.543 ,6.663 ,6.772 ,6.871 ,6.962 ,7.047 ,7.125 ,7.199 ,7.268 ,7.333 ,7.394 ,,7.508 ,,7.611 ,,7.705 ,,7.792 ,,7.873 ,,7.948 ,,8.018 ,,8.084 ,,8.146 ,,8.204 ,,,,,,,,,,8.457 ,,,,,,,,,,8.661 ,,,,,,,,,,8.832 ,,,,,,,,,,8.978 ,,,,,,,,,,9.106 ,,,,,,,,,,9.219 
15 ,,4.167 ,4.836 ,9.252 ,5.556 ,5.796 ,5.994 ,6.162 ,6.309 ,6.438 ,6.555 ,6.660 ,6.756 ,6.845 ,6.927 ,7.003 ,7.074 ,7.141 ,7.204 ,7.264 ,,7.374 ,,7.474 ,,7.566 ,,7.650 ,,7.728 ,,7.800 ,,7.369 ,,7.932 ,,7.992 ,,8.049 ,,,,,,,,,,8.295 ,,,,,,,,,,8.492 ,,,,,,,,,,8.658 ,,,,,,,,,,8.800 ,,,,,,,,,,8.924 ,,,,,,,,,,9.035 
16 ,,4.131 ,4.786 ,5.192 ,5.489 ,5.722 ,5.915 ,6.079 ,6.222 ,6.348 ,6.461 ,6.564 ,6.658 ,6.744 ,6.823 ,6.397 ,6.967 ,7.032 ,7.093 ,7.151 ,,7.258 ,,7.356 ,,7.445 ,,7.527 ,,7.602 ,,7.673 ,,7.739 ,,7.802 ,,7.860 ,,7.316 ,,,,,,,,,,8.154 ,,,,,,,,,,8.347 ,,,,,,,,,,8.507 ,,,,,,,,,,8.646 ,,,,,,,,,,8.767 ,,,,,,,,,,8.874 
17 ,,4.099 ,4.742 ,5.140 ,5.430 ,5.659 ,5.847 ,6.007 ,6.147 ,6.270 ,6.380 ,6.480 ,6.572 ,6.656 ,6.733 ,6.806 ,6.873 ,6.937 ,6.997 ,7.053 ,,7.158 ,,7.253 ,,7.340 ,,7.420 ,,7.493 ,,7.563 ,,7.627 ,,7.687 ,,7.745 ,,7.799 ,,,,,,,,,,8.031 ,,,,,,,,,,8.229 ,,,,,,,,,,8.377 ,,,,,,,,,,8.511 ,,,,,,,,,,8.630 ,,,,,,,,,,8.735 
18 ,,4.071 ,4.703 ,5.094 ,3.379 ,5.603 ,5.787 ,5.944 ,6.081 ,6.201 ,6.309 ,6.407 ,6.496 ,6.579 ,6.655 ,6.725 ,6.791 ,6.854 ,6.912 ,6.967 ,,7.070 ,,7.163 ,,7.287 ,,7.325 ,,7.398 ,,7.465 ,,7.528 ,,7.587 ,,7.643 ,,7.696 ,,,,,,,,,,7.924 ,,,,,,,,,,8.107 ,,,,,,,,,,8.261 ,,,,,,,,,,8.393 ,,,,,,,,,,8.508 ,,,,,,,,,,8.611 
19 ,,4.046 ,4.669 ,5.054 ,9.334 ,5.553 ,5.735 ,5.889 ,6.022 ,6.141 ,6.246 ,6.342 ,6.430 ,6.510 ,6.585 ,6.654 ,6.719 ,6.780 ,6.837 ,6.891 ,,6.992 ,,7.082 ,,7.166 ,,7.242 ,,7.313 ,,7.379 ,,7.440 ,,7.498 ,,7.553 ,,7.605 ,,,,,,,,,,7.828 ,,,,,,,,,,8.008 ,,,,,,,,,,8.159 ,,,,,,,,,,8.288 ,,,,,,,,,,8.401 ,,,,,,,,,,8.502 
20 ,,4.024 ,4.639 ,5.018 ,9.293 ,5.510 ,5.688 ,5.839 ,5.970 ,6.086 ,6.190 ,6.285 ,6.370 ,6.449 ,6.523 ,6.591 ,6.654 ,6.714 ,6.770 ,6.823 ,,6.922 ,,7.011 ,,7.092 ,,7.168 ,,7.237 ,,7.302 ,,7.362 ,,7.419 ,,7.473 ,,7.523 ,,,,,,,,,,7.742 ,,,,,,,,,,7.319 ,,,,,,,,,,8.067 ,,,,,,,,,,8.194 ,,,,,,,,,,8.305 ,,,,,,,,,,8.404 
21 ,,4.004 ,4.612 ,4.986 ,5.257 ,5.470 ,5.646 ,5.794 ,5.924 ,6.038 ,6.140 ,6.233 ,6.317 ,6.295 ,6.467 ,6.534 ,6.596 ,6.655 ,6.710 ,6.762 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 ,,3.986 ,4.588 ,4.957 ,9.225 ,5.435 ,5.608 ,5.754 ,5.882 ,5.994 ,6.095 ,6.186 ,6.269 ,6.246 ,6.417 ,6.482 ,6.544 ,6.602 ,6.656 ,6.707 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 ,,3.970 ,4.566 ,4.931 ,5.195 ,5.403 ,5.573 ,5.718 ,5.844 ,5.955 ,6.054 ,6.144 ,6.226 ,6.201 ,6.371 ,6.436 ,6.497 ,6.553 ,6.607 ,6.658 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 ,,3.955 ,4.546 ,4.907 ,5.168 ,3.373 ,5.542 ,5.685 ,5.809 ,5.919 ,6.017 ,6.105 ,6.186 ,6.261 ,6.330 ,6.394 ,6.453 ,6.510 ,6.562 ,6.612 ,,6.705 ,,6.789 ,,6.865 ,,6.936 ,,7.001 ,,7.062 ,,7.119 ,,7.173 ,,7.223 ,,7.270 ,,,,,,,,,,7.476 ,,,,,,,,,,7.642 ,,,,,,,,,,7.780 ,,,,,,,,,,7.300 ,,,,,,,,,,8.004 ,,,,,,,,,,8.097 
25 ,,3.942 ,4.527 ,4.885 ,5.144 ,5.347 ,5.513 ,5.655 ,5.778 ,5.886 ,5.983 ,6.070 ,6.150 ,6.224 ,6.292 ,6.355 ,6.414 ,6.469 ,6.522 ,6.571 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 ,,3.930 ,4.510 ,4.865 ,5.121 ,5.322 ,5.487 ,5.627 ,5.749 ,5.856 ,5.951 ,6.038 ,6.117 ,6.190 ,6.257 ,6.319 ,6.378 ,6.432 ,6.484 ,6.533 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 ,,3.918 ,4.495 ,4.847 ,5.101 ,5.300 ,5.463 ,5.602 ,5.722 ,5.828 ,5.923 ,6.008 ,6.087 ,6.158 ,6.225 ,6.287 ,6.344 ,6.399 ,6.450 ,6.498 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 ,,3.908 ,4.481 ,4.830 ,5.082 ,5.279 ,5.441 ,5.578 ,5.697 ,5.802 ,5.896 ,5.981 ,6.058 ,6.129 ,6.195 ,6.256 ,6.314 ,6.367 ,6.418 ,6.465 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 ,,3.898 ,4.467 ,4.814 ,5.064 ,5.260 ,5.420 ,5.556 ,5.674 ,5.778 ,5.871 ,5.955 ,6.032 ,6.103 ,6.168 ,6.228 ,6.285 ,6.338 ,6.388 ,6.435 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 ,,3.889 ,4.455 ,4.799 ,5.048 ,5.242 ,5.401 ,5.536 ,5.653 ,5.756 ,5.848 ,5.932 ,6.008 ,6.078 ,6.142 ,6.202 ,6.258 ,6.311 ,6.361 ,6.407 ,,6.494 ,,6.572 ,,6.644 ,,6.710 ,,6.772 ,,6.828 ,,6.881 ,,6.932 ,,6.978 ,,7.023 ,,,,,,,,,,7.215 ,,,,,,,,,,7.370 ,,,,,,,,,,7.500 ,,,,,,,,,,7.611 ,,,,,,,,,,7.709 ,,,,,,,,,,7.796 
31 ,,3.881 ,4.443 ,4.786 ,5.032 ,5.225 ,5.383 ,5.517 ,5.633 ,5.736 ,5.827 ,5.910 ,5.985 ,6.055 ,6.119 ,6.178 ,6.234 ,6.286 ,6.335 ,6.381 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 ,,3.873 ,4.433 ,4.773 ,5.018 ,5.210 ,5.367 ,5.500 ,5.615 ,5.716 ,5.807 ,5.889 ,5.964 ,6.033 ,6.096 ,6.155 ,6.211 ,6.262 ,6.311 ,6.357 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33 ,,3.865 ,4.423 ,4.761 ,5.005 ,5.195 ,5.351 ,5.483 ,5.598 ,5.698 ,5.789 ,5.870 ,5.944 ,6.013 ,6.076 ,6.134 ,6.189 ,6.240 ,6.289 ,6.334 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
