df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,900.3,1.351 ,1.643 ,1.856 ,2.022 ,2.158 ,2.272 ,2.370 ,2.455 ,2.532 ,2.600 ,2.662 ,2.718 ,2.770 ,2.818 ,,2.904 ,,2980,,3.047 ,,3.108 ,,3.163 ,,3.213 ,,3.260 ,,3.303 ,,3.343 ,,3.380 ,,3.415 ,,3.448 ,,,,,,,,,,3.589 ,,,,,,,,,,3.701 ,,,,,,,,,,3.794 ,,,,,,,,,,3.873 ,,,,,,,,,,3.941 ,,,,,,,,,,4.002 
2,,44.69,60.42,70.77,78.43,84.49,89.46,93.67,97.30,100.5,103.3,105.9,108.2,110.4,112.3,114.2,,117.4,,120.3,,122.9,,125.2,,127.3,,129.3,,131.0,,132.7,,134.2,,135.7,,137.0,,138.3,,,,,,,,,,143.7,,,,,,,,,,148.0,,,,,,,,,,151.6,,,,,,,,,,154.7,,,,,,,,,,157.4,,,,,,,,,,159.7
3,,18.28,23.32,26.65,29.13,31.11,32.74,34.12,35.33,36.39,37.34,38.20,38.98,39.69,40.35,40.97,,42.07,,43.05,,43.92,,44.70,,45.42,,46.07,,46.68,,47.24,,4.777 ,,43.26,,48.72,,49.16,,,,,,,,,,51.02,,,,,,,,,,92.51,,,,,,,,,,93.75,,,,,,,,,,54.81,,,,,,,,,,95.72,,,,,,,,,,36.53
4,,12.18,14.99,16.84,18.23,19.34,20.26,21.04 ,21.73,22.33,22.87,23.36,23.81,24.21,24.59,24.94,,25.58,,26.14,,26.65,,27.10,,2.751 ,,27.89,,28.24,,28.57,,28.88,,29.16,,29.43,,29.68,,,,,,,,,,30.78,,,,,,,,,,31.65,,,,,,,,,,32.37,,,,,,,,,,32.98,,,,,,,,,,33.52,,,,,,,,,,34.00
5,,9.714 ,11.67,12.96,13.93,1.471 ,15.35,15.90,16.38,16.81,17.18,17.53,17.85,18.13,18.41,18.66,,19.10,,19.51,,19.86,,20.19,,20.48,,20.75,,43.851 ,,21.24,,21.46,,21.66,,21.86,,22.03,,,,,,,,,,22.82,,,,,,,,,,23.45,,,,,,,,,,23.97,,,,,,,,,,24.41,,,,,,,,,,24.80,,,,,,,,,,25.15
6,,8.427 ,9.96,10.97,11.72,12.32,12.83,13.26,13.63,13.97,14.27,14.54,14.79,15.01,15.22,15.42,,15.78,,16.09,,16.38,,16.64,,16.87,,17.08,,17.28,,17.47,,17.64,,17.81,,17.96,,18.10,,,,,,,,,,18.73,,,,,,,,,,19.22,,,,,,,,,,19.64,,,,,,,,,,20.00,,,,,,,,,,20.31,,,,,,,,,,20.58
7,,7.648 ,8.93,9.768 ,10.40,10.90,11.32,11.68,11.99,12.27,12.52,12.74,12.95,13.14,13.32,13.48,,13.78,,14.04,,14.29,,14.50,,14.70,,14.88,,15.05,,15.20,,15.35,,15.49,,15.62,,15.74,,,,,,,,,,16.27,,,,,,,,,,16.69,,,,,,,,,,17.04,,,,,,,,,,17.35,,,,,,,,,,17.61,,,,,,,,,,17.85
8,,7.130 ,8.25,8.978 ,9.522 ,9.958 ,10.32,10.64,10.91,11.15,11.36,11.56,11.74,11.91,12.06,12.21,,12.47,,12.70,,12.91,,13.9,,13.26,,13.42,,13.57,,13.71,,13.84,,13.96,,14.07,,14.18,,,,,,,,,,14.64,,,,,,,,,,15.01,,,,,,,,,,15.32,,,,,,,,,,15.59,,,,,,,,,,15.82,,,,,,,,,,16.02
9,,6.762 ,7.768 ,8.419 ,8.906 ,9.295 ,9.619 ,9.897 ,10.14,10.36,10.55,10.73,10.89,11.03,11.18,11.30,,11.54,,11.75,,11.93,,12.10,,12.25,,12.39,,12.53,,12.65,,12.77,,12.87,,12.97,,13.07,,,,,,,,,,13.49,,,,,,,,,,13.82,,,,,,,,,,14.10,,,,,,,,,,14.34,,,,,,,,,,14.55,,,,,,,,,,14.74
10,,6.487 ,7.411 ,8.006 ,8.450 ,8.804 ,9.099 ,9.352 ,9.573 ,9.769 ,9.946 ,10.11,10.25,10.39,10.52,10.64,,10.85,,11.03,,11.20,,11.36,,11.50,,11.63,,11.75,,11.87,,11.97,,12.07,,12.16,,12.25,,,,,,,,,,12.63,,,,,,,,,,12.94,,,,,,,,,,13.20,,,,,,,,,,13.42,,,,,,,,,,13.61,,,,,,,,,,13.73
11,,6.275 ,7.136 ,7.687 ,8.098 ,8.426 ,8.699 ,8.933 ,9.138 ,9.319 ,9.482 ,9.630 ,9.766 ,9.892 ,10.01,10.12,,10.31,,10.49,,10.65,,10.79,,10.92,,11.04,,11.16,,11.26,,11.35,,11.45,,11.53,,11.62,,,,,,,,,,11.97,,,,,,,,,,12.25,,,,,,,,,,12.49,,,,,,,,,,12.70,,,,,,,,,,12.88,,,,,,,,,,13.04
12,,6.106 ,6.917 ,7.436 ,7.821 ,8.127 ,8.383 ,8.601 ,8.793 ,8.962 ,9.115 ,9.254 ,9.381 ,9.498 ,9.606 ,9.707 ,,9.891 ,,10.06,,10.20,,10.34,,10.46,,10.57,,10.68,,10.78,,10.87,,10.96,,11.03,,10.08,,,,,,,,,,11.44,,,,,,,,,,11.71,,,,,,,,,,11.94,,,,,,,,,,12.13,,,,,,,,,,12.29,,,,,,,,,,12.45
13,,5.970 ,6.740 ,7.231 ,7.595 ,7.885 ,8.126 ,8.333 ,8.513 ,8.673 ,8.817 ,9.948 ,9.068 ,9.178 ,9.281 ,9.376 ,,9.550 ,,9.704,,9.843 ,,9.969 ,,10.09,,10.19,,10.29,,10.39,,10.47,,10.55,,10.63,,10.70,,,,,,,,,,11.01,,,,,,,,,,11.27,,,,,,,,,,11.48,,,,,,,,,,11.66,,,,,,,,,,11.82,,,,,,,,,,11.97
14,,5.856 ,6.594 ,7.062 ,7.409 ,7.685 ,7.915 ,8.110 ,8.282 ,8.434 ,8.571 ,8.696 ,8.809 ,8.914 ,9.012 ,9.103 ,,9.267 ,,9.414,,9.546 ,,9.666 ,,9.776 ,,9.878 ,,9.972 ,,10.06,,10.14,,10.22,,10.30,,10.37,,,,,,,,,,10.66,,,,,,,,,,10.91,,,,,,,,,,11.11,,,,,,,,,,11.28,,,,,,,,,,11.43,,,,,,,,,,11.57
15,,5.760 ,6.470 ,6.920 ,7.252 ,7.517 ,7.736 ,7.925 ,8.088 ,8.234 ,8.365 ,8.483 ,8.592 ,8.693 ,8.786 ,8.872 ,,9.030 ,,9.170,,9.296 ,,9.411 ,,9.517 ,,9.613 ,,97.03,,9.788 ,,9.867 ,,9.940 ,,10.01,,10.08,,,,,,,,,,10.37,,,,,,,,,,10.59,,,,,,,,,,10.79,,,,,,,,,,10.96,,,,,,,,,,44.115 ,,,,,,,,,,11.23
16,,5.678 ,6.365 ,6.799 ,7.119 ,7.374 ,7.585 ,7.766 ,7.923 ,8.063 ,8.189 ,8.303 ,8.407 ,8.504 ,8.593 ,8.676 ,,8.828 ,,8.963,,9.084 ,,9.194 ,,9.295 ,,9.388 ,,9.475 ,,9.556 ,,9.631 ,,9.702 ,,9.769 ,,9.833 ,,,,,,,,,,10.11,,,,,,,,,,10.34,,,,,,,,,,10.52,,,,,,,,,,10.68,,,,,,,,,,11.10,,,,,,,,,,10.95
17,,5.608 ,6.275 ,6.695 ,7.005 ,7.250 ,7.454 ,7.629 ,7.781 ,7.916 ,8.037 ,8.148 ,8.248 ,8.342 ,8.427 ,8.508 ,,8.654 ,,8.784,,8.900 ,,9.007 ,,9.104 ,,9.194 ,,9.277 ,,9.355 ,,9.429 ,,9.497 ,,9.562 ,,9.623 ,,,,,,,,,,9.888 ,,,,,,,,,,10.10,,,,,,,,,,10.29,,,,,,,,,,10.44,,,,,,,,,,10.58,,,,,,,,,,10.70
18,,5.546 ,6.196 ,6.604 ,6.905 ,7.143 ,7.341 ,7.510 ,7.657 ,7.788 ,7.306 ,8.012 ,8.110 ,8.199 ,8.283 ,8.361 ,,8.502 ,,8.628,,8.741 ,,8.944 ,,8.938 ,,9.025 ,,9.106 ,,9.181 ,,9.251 ,,9.318 ,,9.381 ,,9.440 ,,,,,,,,,,9.696 ,,,,,,,,,,9.904 ,,,,,,,,,,10.08,,,,,,,,,,10.23,,,,,,,,,,10.36,,,,,,,,,,10.43
19,,5.492 ,6.127 ,6.525 ,6.817 ,7.049 ,7.242 ,7.405 ,7.549 ,7.676 ,7.730 ,7.893 ,7.988 ,8.075 ,8.156 ,8.232 ,,8.369 ,,8.491,,8.601 ,,8.701 ,,8.792 ,,8.876 ,,8.955 ,,9.028 ,,9.096 ,,9.161 ,,9.221 ,,9.279 ,,,,,,,,,,9.528 ,,,,,,,,,,9.730 ,,,,,,,,,,9.899 ,,,,,,,,,,10.04,,,,,,,,,,10.17,,,,,,,,,,10.29
20,,5.444 ,6.065 ,6.454 ,6.740 ,6.966 ,7.154 ,7.313 ,7.453 ,1.377 ,7.688 ,7.788 ,7.880 ,7.366 ,8.044 ,8.118 ,,8.251 ,,8.370,,8.477 ,,8.574 ,,8.663 ,,8.745 ,,8.821 ,,8.892 ,,8.959 ,,9.021 ,,9.081 ,,9.137 ,,,,,,,,,,9.379 ,,,,,,,,,,9.575 ,,,,,,,,,,9.740 ,,,,,,,,,,9.881 ,,,,,,,,,,10.01,,,,,,,,,,10.12
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,5.297 ,5.877 ,6.238 ,6.503 ,6.712 ,6.884 ,7.031 ,7.159 ,7.272 ,7.374 ,7.467 ,7.551 ,7.629 ,7.701 ,7.768 ,,7.890 ,,7.999,,8.097 ,,8.185 ,,8.267 ,,8.342 ,,8.411 ,,8.476 ,,8.537 ,,8.594 ,,8.648 ,,8.700 ,,,,,,,,,,8.921 ,,,,,,,,,,9.100 ,,,,,,,,,,9.250 ,,,,,,,,,,9.380 ,,,,,,,,,,9.494 ,,,,,,,,,,9.596 
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,5.156 ,5.698 ,6.033 ,6.278 ,6.470 ,6.628 ,6.763 ,6.880 ,6.984 ,7.077 ,7.162 ,7.329 ,7.310 ,7.375 ,7.437 ,,7.548 ,,7.647,,7.735 ,,7.816 ,,7.890 ,,7.958 ,,8.021 ,,8.080 ,,8.135 ,,8.188 ,,8.237 ,,8.283 ,,,,,,,,,,8.484 ,,,,,,,,,,8.647 ,,,,,,,,,,8.783 ,,,,,,,,,,8.901 ,,,,,,,,,,9.004 ,,,,,,,,,,9.096 
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,5.022 ,5.528 ,5.838 ,6.063 ,6.240 ,6.386 ,6.509 ,6.616 ,6.711 ,6.796 ,6.872 ,6.942 ,7.007 ,7.067 ,7.122 ,,7.223 ,,7.312,,7.393 ,,7.466 ,,7.533 ,,7.594 ,,7.651 ,,7.704 ,,7.754 ,,7.801 ,,7.845 ,,7.887 ,,,,,,,,,,8.067 ,,,,,,,,,,8.214 ,,,,,,,,,,8.337 ,,,,,,,,,,8.442 ,,,,,,,,,,8.535 ,,,,,,,,,,8.618 
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
