df,1 ,2 ,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
14,,4.704 ,5.401 ,5.838 ,6.160 ,6.414 ,6.626 ,6.805 ,6.962 ,7.101 ,7.225 ,7.338 ,7.442 ,7.537 ,7.625 ,7.707 ,,7.856 ,,7.988 ,,8.107,,8.215,,8.314,,8.404,,,,8.568,,8.641,,8.710,,8.775,,8.837,,,,,,,,,,9.103,,,,,,,,,,9.317,,,,,,,,,,9.497,,,,,,,,,,9.652,,,,,,,,,,9.787 ,,,,,,,,,,9.907
15,,4.647 ,9.325 ,5.750 ,6.061 ,6.308 ,6.511 ,6.685 ,6.837 ,6.971 ,7.081 ,7.200 ,7.300 ,7.392 ,7.477 ,7.556 ,,7.699 ,,7.821 ,,7.942,,8.046,,8.141,,8.229,,,,8.387,,8.458,,8.524,,8.587,,8.647,,,,,,,,,,8.904,,,,,,,,,,9.111,,,,,,,,,,9.285,,,,,,,,,,9.434,,,,,,,,,,9.565 ,,,,,,,,,,9.680
16,,4.599 ,5.261 ,5.674 ,5.977 ,6.216 ,6.413 ,6.582 ,6.729 ,6.859 ,6.976 ,7.081 ,7.178 ,7.267 ,7.349 ,7.426 ,,7.566 ,,7.689 ,,7.800,,7.901,,7.994,,8.078,,,,8.231,,8.300,,8.365,,8.425,,8.483,,,,,,,,,,8.733,,,,,,,,,,8.933,,,,,,,,,,9.102,,,,,,,,,,9.247,,,,,,,,,,9.373 ,,,,,,,,,,9.486
17,,4.557 ,5.205 ,5.608 ,5.903 ,6.136 ,6.329 ,6.493 ,6.636 ,6.763 ,6.876 ,6.979 ,7.072 ,7.159 ,7.239 ,7.314 ,,7.449 ,,7.569 ,,7.677,,7.775 ,,7.865,,7.948,,,,8.096,,8.163,,8.226,,8.285,,8.341,,,,,,,,,,8.583,,,,,,,,,,8.779,,,,,,,,,,8.943,,,,,,,,,,9.084,,,,,,,,,,9.206 ,,,,,,,,,,9.316
18,,4.521 ,5.156 ,5.550 ,5.839 ,6.067 ,6.255 ,6.415 ,6.554 ,6.678 ,6.788 ,6.888 ,6.980 ,7.064 ,7.142 ,7.215 ,,7.347 ,,7.464 ,,7.570 ,,7.665,,7.753,,7.833,,,,7.978,,8.043,,8.104,,8.162,,8.217,,,,,,,,,,8.452,,,,,,,,,,8.643,,,,,,,,,,8.803,,,,,,,,,,8.940,,,,,,,,,,9.061 ,,,,,,,,,,9.167
19,,4.488 ,5.113 ,5.500 ,5.783 ,6.005 ,6.189 ,6.346 ,6.482 ,6.603 ,6.711 ,6.809 ,6.898 ,6.981 ,7.057 ,7.128 ,,7.257 ,,7.372 ,,7.474 ,,7.568,,7.653,,7.732,,,,7.873,,7.937,,7.396,,8.053,,8.106,,,,,,,,,,8.337,,,,,,,,,,8.523,,,,,,,,,,8.679,,,,,,,,,,8.813,,,,,,,,,,8.931 ,,,,,,,,,,9.036
20,,4.460 ,5.074 ,5.455 ,9.732 ,5.951 ,6.131 ,6.285 ,6.418 ,6.537 ,6.642 ,6.738 ,6.826 ,6.907 ,6.981 ,7.051 ,,7.177 ,,7.289 ,,7.390,,7.481 ,,7.565,,7.642,,,,7.780,,7.842,,7.901,,7.956,,8.008,,,,,,,,,,8.234,,,,,,,,,,8.416,,,,,,,,,,8.569,,,,,,,,,,8.700,,,,,,,,,,8.815 ,,,,,,,,,,8.917
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
