df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,8.929 ,13.437 ,16.358 ,18.488 ,20.150 ,21.504 ,22.642 ,23.621 ,24.477 ,25.237 ,25.918 ,26.536 ,27.100 ,27.618 ,28.097 ,28.542 ,28.958 ,29.347 ,29.713 ,,30.39,,30.99,,31.54,,32.04,,32.5,,32.93,,33.33,,33.71,,34.08,,34.38,,,,,,,,,,35.79,,,,,,,,,,36.91,,,,,,,,,,37.83,,,,,,,,,,38.62,,,,,,,,,,39.3,,,,,,,,,,39.91
2,,4.129 ,5.733 ,6.772 ,7.538 ,8.139 ,8.633 ,9.049 ,9.409 ,9.725 ,10.006 ,10.259 ,10.488 ,10.698 ,10.891 ,11.070 ,11.237 ,11.392 ,11.538 ,11.676 ,,11.93,,12.16,,12.36,,12.55,,12.73,,12.89,,43.934 ,,13.18,,13.31,,13.44,,,,,,,,,,13.97,,,,,,,,,,14.40,,,,,,,,,,14.75,,,,,,,,,,43.966 ,,,,,,,,,,15.31,,,,,,,,,,15.54
3,,3.328 ,4.467 ,5.199 ,5.738 ,6.162 ,6.511 ,6.806 ,7.062 ,7.287 ,7.487 ,7.667 ,7.831 ,7.982 ,8.120 ,8.248 ,8.368 ,8.479 ,8.584 ,8.683 ,,8.864 ,,9.029 ,,9.177 ,,9.314 ,,9.440 ,,9.557 ,,9.666 ,,9.768 ,,9.864 ,,9.954 ,,,,,,,,,,10.34,,,,,,,,,,10.65,,,,,,,,,,10.91,,,,,,,,,,1.112 ,,,,,,,,,,11.31,,,,,,,,,,11.48
4,,3.015 ,3.976 ,4.586 ,5.035 ,5.388 ,5.679 ,5.926 ,6.139 ,6.327 ,6.494 ,6.645 ,6.783 ,6.909 ,7.025 ,7.132 ,7.233 ,7.326 ,7.414 ,7.497 ,,7.650 ,,7.789 ,,7.914 ,,8.029 ,,8.135 ,,8.234 ,,8.326 ,,8.412 ,,8.493 ,,8.569 ,,,,,,,,,,8.806 ,,,,,,,,,,9.156 ,,,,,,,,,,9.373 ,,,,,,,,,,9.557 ,,,,,,,,,,9.718 ,,,,,,,,,,9.860 
5,,2.850 ,3.717 ,4.264 ,4.664 ,4.979 ,5.238 ,5.458 ,5.648 ,5.816 ,5.965 ,6.100 ,6.223 ,6.336 ,6.439 ,6.536 ,6.626 ,6.710 ,6.788 ,6.863 ,,7.000 ,,7.123 ,,7.236 ,,7.340 ,,7.435 ,,7.523 ,,7.606 ,,7.683 ,,7.756 ,,7.825 ,,,,,,,,,,8.118 ,,,,,,,,,,8.353 ,,,,,,,,,,8.548 ,,,,,,,,,,8.715 ,,,,,,,,,,8.859 ,,,,,,,,,,8.988 
6,,2.748 ,3.558 ,4.065 ,4.435 ,4.726 ,4.966 ,5.168 ,5.344 ,5.499 ,5.637 ,5.762 ,5.875 ,5.979 ,6.075 ,6.164 ,6.247 ,6.325 ,6.398 ,6.466 ,,6.593 ,,6.708 ,,6.812 ,,6.908 ,,6.996 ,,7.078 ,,7.155 ,,7.207 ,,7.294 ,,7.358 ,,,,,,,,,,7.630 ,,,,,,,,,,7.848 ,,,,,,,,,,8.029 ,,,,,,,,,,8.184 ,,,,,,,,,,8.319 ,,,,,,,,,,8.438 
7,,2.679 ,3.451 ,3.931 ,4.280 ,4.555 ,4.780 ,4.971 ,5.137 ,5.283 ,5.413 ,5.530 ,5.637 ,5.735 ,5.826 ,5.910 ,5.988 ,6.061 ,6.130 ,6.195 ,,6.315 ,,6.422 ,,6.521 ,,6.611 ,,6.695 ,,6.773 ,,6.845 ,,6.913 ,,6.976 ,,7.036 ,,,,,,,,,,7.294 ,,,,,,,,,,7.500 ,,,,,,,,,,7.672 ,,,,,,,,,,7.818 ,,,,,,,,,,7.946 ,,,,,,,,,,8.059 
8,,2.630 ,3.374 ,3.834 ,4.169 ,4.431 ,4.646 ,4.829 ,4.987 ,5.126 ,5.250 ,5.361 ,5.464 ,5.558 ,5.644 ,5.724 ,5.799 ,5.869 ,5.935 ,5.997 ,,6.111 ,,6.214 ,,6.308 ,,6.395 ,,6.475 ,,6.549 ,,6.618 ,,6.683 ,,6.744 ,,6.801 ,,,,,,,,,,7.048 ,,,,,,,,,,7.285 ,,,,,,,,,,7.403 ,,,,,,,,,,7.550 ,,,,,,,,,,7.672 ,,,,,,,,,,7.780 
9,,2.592 ,3.316 ,3.761 ,4.084 ,4.337 ,4.545 ,4.721 ,4.873 ,5.007 ,5.126 ,5.234 ,5.333 ,5.423 ,5.506 ,5.583 ,5.655 ,5.722 ,5.786 ,5.845 ,,5.956 ,,6.055 ,,6.146 ,,6.229 ,,6.306 ,,6.378 ,,6.444 ,,6.507 ,,6.566 ,,6.621 ,,,,,,,,,,6.859 ,,,,,,,,,,7.050 ,,,,,,,,,,7.208 ,,,,,,,,,,7.343 ,,,,,,,,,,7.461 ,,,,,,,,,,7.566 
10,,2.565 ,3.270 ,3.704 ,4.018 ,4.264 ,4.465 ,4.636 ,4.783 ,4.913 ,5.029 ,5.134 ,5.229 ,5.316 ,5.397 ,5.472 ,5.542 ,5.607 ,5.668 ,5.726 ,,5.833 ,,5.930 ,,6.017 ,,6.098 ,,6.173 ,,6.242 ,,6.307 ,,6.368 ,,6.425 ,,6.479 ,,,,,,,,,,6.709 ,,,,,,,,,,6.895 ,,,,,,,,,,7.048 ,,,,,,,,,,7.180 ,,,,,,,,,,7.295 ,,,,,,,,,,7.396 
