df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,,2.540 ,3.234 ,3.658 ,3.965 ,4.205 ,4.401 ,4.567 ,4.711 ,4.838 ,4.951 ,5.053 ,5.145 ,5.231 ,5.309 ,5.382 ,5.450 ,5.514 ,5.573 ,5.630 ,,5.734 ,,5.828 ,,5.914 ,,5.992 ,,6.065 ,,6.132 ,,6.196 ,,6.255 ,,6.310 ,,6.363 ,,,,,,,,,,6.588 ,,,,,,,,,,6.768 ,,,,,,,,,,6.918 ,,,,,,,,,,7.047 ,,,,,,,,,,7.158 ,,,,,,,,,,7.258 
12,,2.521 ,3.204 ,3.621 ,3.921 ,4.156 ,4.349 ,4.511 ,4.652 ,4.776 ,4.886 ,4.986 ,5.076 ,5.160 ,5.236 ,5.308 ,5.374 ,5.436 ,5.495 ,5.550 ,,5.652 ,,5.744 ,,5.827 ,,5.904 ,,5.976 ,,6.042 ,,6.103 ,,6.161 ,,6.215 ,,6.267 ,,,,,,,,,,6.487 ,,,,,,,,,,6.663 ,,,,,,,,,,6.810 ,,,,,,,,,,6.936 ,,,,,,,,,,7.045 ,,,,,,,,,,7.142 
13,,2.504 ,3.179 ,3.589 ,3.885 ,4.116 ,4.304 ,4.464 ,4.602 ,4.724 ,4.832 ,4.930 ,5.019 ,5.100 ,5.175 ,5.245 ,5.310 ,5.371 ,5.429 ,5.483 ,,5.583 ,,5.673 ,,5.755 ,,5.830 ,,5.300 ,,5.965 ,,6.025 ,,6.082 ,,6.135 ,,6.186 ,,,,,,,,,,6.402 ,,,,,,,,,,6.575 ,,,,,,,,,,6.719 ,,,,,,,,,,6.842 ,,,,,,,,,,6.949 ,,,,,,,,,,7.045 
14,,2.491 ,3.158 ,3.563 ,3.854 ,4.081 ,4.267 ,4.424 ,4.560 ,4.679 ,4.786 ,4.882 ,4.969 ,5.050 ,5.124 ,5.192 ,5.256 ,5.316 ,5.372 ,5.426 ,,5.524 ,,5.612 ,,5.693 ,,5.767 ,,5.836 ,,5.899 ,,5.959 ,,6.014 ,,6.067 ,,6.116 ,,,,,,,,,,6.329 ,,,,,,,,,,6.499 ,,,,,,,,,,6.641 ,,,,,,,,,,6.762 ,,,,,,,,,,6.868 ,,,,,,,,,,6.961 
15,,2.479 ,3.140 ,3.540 ,3.828 ,4.052 ,4.235 ,4.390 ,4.524 ,4.641 ,4.746 ,4.841 ,4.927 ,5.006 ,5.079 ,5.146 ,5.209 ,5.268 ,5.324 ,5.376 ,,5.473 ,,5.560 ,,5.639 ,,5.713 ,,5.780 ,,5.843 ,,5.901 ,,5.956 ,,6.008 ,,6.057 ,,,,,,,,,,6.266 ,,,,,,,,,,6.433 ,,,,,,,,,,6.573 ,,,,,,,,,,6.692 ,,,,,,,,,,6.796 ,,,,,,,,,,6.888 
16,,2.469 ,3.124 ,3.520 ,3.804 ,4.026 ,4.207 ,4.360 ,4.492 ,4.608 ,4.712 ,4.805 ,4.890 ,4.968 ,5.040 ,5.106 ,5.169 ,5.227 ,5.282 ,5.333 ,,5.428 ,,5.515 ,,5.593 ,,5.665 ,,9.732 ,,5.793 ,,5.851 ,,5.905 ,,5.956 ,,6.004 ,,,,,,,,,,6.210 ,,,,,,,,,,6.376 ,,,,,,,,,,6.513 ,,,,,,,,,,6.631 ,,,,,,,,,,6.734 ,,,,,,,,,,6.825 
17,,2.460 ,3.110 ,3.503 ,3.784 ,4.003 ,4.182 ,4.334 ,4.464 ,4.579 ,4.681 ,4.774 ,4.857 ,4.934 ,5.005 ,5.071 ,5.133 ,5.190 ,5.244 ,5.295 ,,5.389 ,,5.474 ,,5.552 ,,5.623 ,,5.689 ,,5.750 ,,5.806 ,,5.860 ,,5.910 ,,5.958 ,,,,,,,,,,6.162 ,,,,,,,,,,6.325 ,,,,,,,,,,6.461 ,,,,,,,,,,6.577 ,,,,,,,,,,6.679 ,,,,,,,,,,6.769 
18,,2.452 ,3.098 ,3.487 ,3.766 ,3.984 ,4.161 ,4.310 ,4.440 ,4.553 ,4.654 ,4.746 ,4.829 ,4.905 ,4.975 ,5.040 ,5.101 ,5.158 ,5.211 ,5.262 ,,5.355 ,,5.439 ,,5.515 ,,5.585 ,,5.650 ,,5.711 ,,5.767 ,,5.820 ,,5.870 ,,5.917 ,,,,,,,,,,6.113 ,,,,,,,,,,6.280 ,,,,,,,,,,6.414 ,,,,,,,,,,6.529 ,,,,,,,,,,6.630 ,,,,,,,,,,6.719 
19,,2.445 ,3.087 ,3.474 ,3.751 ,3.966 ,4.142 ,4.290 ,4.418 ,4.530 ,4.630 ,4.721 ,4.803 ,4.878 ,4.948 ,5.012 ,5.072 ,5.129 ,5.182 ,5.232 ,,9.324 ,,5.407 ,,5.483 ,,5.552 ,,5.616 ,,5.676 ,,9.732 ,,5.784 ,,5.833 ,,5.880 ,,,,,,,,,,6.079 ,,,,,,,,,,6.239 ,,,,,,,,,,6.372 ,,,,,,,,,,6.486 ,,,,,,,,,,6.585 ,,,,,,,,,,6.674 
20,,2.439 ,3.077 ,3.462 ,3.736 ,3.950 ,4.124 ,4.271 ,4.398 ,4.510 ,4.609 ,4.699 ,4.780 ,4.855 ,4.923 ,4.987 ,5.047 ,5.103 ,5.115 ,5.205 ,,5.296 ,,5.378 ,,5.453 ,,5.522 ,,5.586 ,,5.645 ,,5.700 ,,5.752 ,,5.801 ,,5.847 ,,,,,,,,,,6.044 ,,,,,,,,,,6.203 ,,,,,,,,,,6.335 ,,,,,,,,,,6.447 ,,,,,,,,,,6.546 ,,,,,,,,,,6.633 
21,,2.433 ,3.069 ,3.451 ,3.724 ,3.936 ,4.109 ,4.255 ,4.380 ,4.491 ,4.590 ,4.678 ,4.759 ,4.833 ,4.901 ,4.965 ,5.024 ,5.079 ,5.131 ,5.180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2.428 ,3.061 ,3.441 ,3.712 ,3.923 ,4.095 ,4.239 ,4.364 ,4.474 ,4.572 ,4.660 ,4.740 ,4.814 ,4.882 ,4.944 ,5.003 ,5.058 ,5.109 ,5.158 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,2.424 ,3.054 ,2.432 ,3.701 ,3.911 ,4.082 ,4.226 ,4.350 ,4.459 ,4.556 ,4.644 ,4.723 ,4.796 ,4.863 ,4.926 ,4.984 ,5.038 ,5.089 ,5.138 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2.420 ,3.047 ,3.423 ,3.692 ,3.900 ,4.070 ,4.213 ,4.336 ,4.445 ,4.541 ,4.628 ,4.707 ,4.780 ,4.847 ,4.909 ,4.966 ,5.020 ,5.071 ,5.119 ,,5.208 ,,5.287 ,,5.360 ,,3.427 ,,5.489 ,,5.546 ,,5.600 ,,5.650 ,,5.697 ,,5.741 ,,,,,,,,,,5.933 ,,,,,,,,,,6.086 ,,,,,,,,,,6.214 ,,,,,,,,,,6.324 ,,,,,,,,,,6.419 ,,,,,,,,,,6.503 
25,,2.416 ,3.041 ,3.416 ,3.683 ,3.890 ,4.059 ,4.201 ,4.324 ,4.432 ,4.528 ,4.614 ,4.693 ,4.765 ,4.831 ,4.893 ,4.950 ,5.004 ,5.055 ,5.102 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,2.412 ,3.036 ,3.409 ,3.675 ,3.881 ,4.049 ,4.191 ,4.313 ,4.420 ,4.515 ,4.601 ,4.680 ,4.751 ,4.817 ,4.378 ,4.936 ,4.989 ,5.039 ,5.086 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,2.409 ,3.030 ,3.402 ,3.667 ,3.873 ,4.040 ,4.181 ,4.302 ,4.409 ,4.504 ,4.590 ,4.667 ,4.739 ,4.804 ,4.365 ,4.922 ,4.975 ,5.025 ,5.072 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,2.406 ,3.026 ,3.396 ,3.660 ,3.865 ,4.032 ,4.172 ,4.293 ,4.399 ,4.493 ,4.579 ,4.656 ,4.727 ,4.792 ,4.353 ,4.309 ,4.962 ,5.012 ,5.058 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,2.403 ,3.021 ,3.391 ,3.654 ,3.858 ,4.024 ,4.163 ,4.284 ,4.389 ,4.484 ,4.568 ,4.645 ,4.716 ,4.781 ,4.841 ,4.397 ,4.950 ,4.999 ,5.046 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,2.400 ,3.017 ,3.386 ,3.648 ,3.851 ,4.016 ,4.155 ,4.275 ,4.381 ,4.474 ,4.559 ,4.635 ,4.706 ,4.770 ,4.830 ,4.886 ,4.939 ,4.988 ,5.034 ,,5.120 ,,5.197 ,,5.267 ,,9.332 ,,5.392 ,,5.447 ,,5.499 ,,5.547 ,,5.593 ,,5.636 ,,,,,,,,,,5.821 ,,,,,,,,,,5.969 ,,,,,,,,,,6.093 ,,,,,,,,,,6.198 ,,,,,,,,,,6.291 ,,,,,,,,,,6.372 
31,,2.398 ,3.013 ,3.381 ,3.642 ,3.845 ,4.009 ,4.148 ,4.268 ,4.372 ,4.466 ,4.550 ,4.626 ,4.696 ,4.760 ,4.820 ,4.876 ,4.928 ,4.977 ,5.023 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2.396 ,3.010 ,3.376 ,3.637 ,3.839 ,4.003 ,4.141 ,4.260 ,4.365 ,4.458 ,4.541 ,4.617 ,4.687 ,4.751 ,4.811 ,4.366 ,4.918 ,4.967 ,5.013 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,2.393 ,3.006 ,3.372 ,3.632 ,3.833 ,3.997 ,4.135 ,4.253 ,4.357 ,4.450 ,4.533 ,4.609 ,4.679 ,4.743 ,4.802 ,4.857 ,4.909 ,4.957 ,5.003 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,2.391 ,3.003 ,3.368 ,3.627 ,3.828 ,3.991 ,4.129 ,4.247 ,4.351 ,4.443 ,4.526 ,4.602 ,4.671 ,4.734 ,4.794 ,4.349 ,4.900 ,4.949 ,4.994 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,2.389 ,3.000 ,3.364 ,3.623 ,3.823 ,3.986 ,4.123 ,4.241 ,4.344 ,4.436 ,4.519 ,4.594 ,4.663 ,4.727 ,4.786 ,4.841 ,4.892 ,4.940 ,4.986 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,2.388 ,2.998 ,3.361 ,3.619 ,3.819 ,3.981 ,4.117 ,4.235 ,4.338 ,4.430 ,4.512 ,4.588 ,4.656 ,4.720 ,4.778 ,4.833 ,4.884 ,4.932 ,4.978 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,2.386 ,2.995 ,3.357 ,3.615 ,3.814 ,3.976 ,4.112 ,4.230 ,4.332 ,4.424 ,4.500 ,4.581 ,4.650 ,4.713 ,4.771 ,4.826 ,4.877 ,4.925 ,4.970 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,2.384 ,2.992 ,3.354 ,3.611 ,3.810 ,3.972 ,4.107 ,4.224 ,4.327 ,4.418 ,4.500 ,4.575 ,4.643 ,4.706 ,4.765 ,4.819 ,4.870 ,4.918 ,4.963 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,2.383 ,2.990 ,3.351 ,3.608 ,3.806 ,3.967 ,4.103 ,4.220 ,4.322 ,4.413 ,4.495 ,4.569 ,4.637 ,4.700 ,4.758 ,4.812 ,4.863 ,4.911 ,4.956 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,2.381 ,2.988 ,3.348 ,3.605 ,3.802 ,3.963 ,4.099 ,4.215 ,4.317 ,4.408 ,4.490 ,4.564 ,4.632 ,4.694 ,4.752 ,4.806 ,4.857 ,4.904 ,4.949 ,,5.032 ,,5.107 ,,5.174 ,,5.236 ,,9.294 ,,5.347 ,,5.397 ,,5.444 ,,5.488 ,,5.529 ,,,,,,,,,,5.708 ,,,,,,,,,,5.850 ,,,,,,,,,,5.969 ,,,,,,,,,,6.071 ,,,,,,,,,,6.160 ,,,,,,,,,,6.238 
48,,2.372 ,2.973 ,3.330 ,3.583 ,3.778 ,3.937 ,4.070 ,4.185 ,4.285 ,4.375 ,4.455 ,4.528 ,4.595 ,4.656 ,4.713 ,4.766 ,4.816 ,4.863 ,4.907 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,2.363 ,2.959 ,3.312 ,3.562 ,3.755 ,3.911 ,4.042 ,4.155 ,4.254 ,4.342 ,4.421 ,4.493 ,4.558 ,4.619 ,4.675 ,4.727 ,4.775 ,4.821 ,4.864 ,,4.944 ,,5.015 ,,5.081 ,,5.141 ,,5.196 ,,5.247 ,,9.295 ,,5.340 ,,5.382 ,,5.422 ,,,,,,,,,,5.593 ,,,,,,,,,,5.730 ,,,,,,,,,,5.844 ,,,,,,,,,,5.941 ,,,,,,,,,,6.026 ,,,,,,,,,,6.102 
80,,2.353 ,2.945 ,3.294 ,3.541 ,3.731 ,3.885 ,4.014 ,4.125 ,4.223 ,4.309 ,4.387 ,4.457 ,4.521 ,4.581 ,4.636 ,4.687 ,4.735 ,4.780 ,4.822 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,,2.344 ,2.930 ,3.276 ,3.520 ,3.707 ,3.859 ,3.986 ,4.096 ,4.191 ,4.276 ,4.353 ,4.422 ,4.485 ,4.543 ,4.597 ,4.647 ,4.694 ,4.738 ,4.779 ,,4.656 ,,4.924 ,,4.987 ,,5.044 ,,5.097 ,,5.146 ,,9.192 ,,9.235 ,,3.275 ,,5.313 ,,,,,,,,,,5.476 ,,,,,,,,,,5.606 ,,,,,,,,,,5.715 ,,,,,,,,,,5.808 ,,,,,,,,,,5.888 ,,,,,,,,,,5.960 
240,,2.335 ,2.916 ,3.258 ,3.499 ,3.684 ,3.834 ,3.959 ,4.066 ,4.160 ,4.244 ,4.319 ,4.386 ,4.448 ,4.505 ,4.558 ,4.607 ,4.653 ,4.696 ,4.737 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inf,,2.326 ,2.902 ,3.240 ,3.478 ,3.661 ,3.808 ,3.931 ,4.037 ,4.129 ,4.211 ,4.285 ,4.351 ,4.412 ,4.468 ,4.519 ,4.568 ,4.612 ,4.654 ,4.694 ,,4.767 ,,4.832 ,,4.892 ,,4.947 ,,4.997 ,,5.044 ,,5.087 ,,5.128 ,,5.166 ,,5.202 ,,,,,,,,,,5.357 ,,,,,,,,,,5.480 ,,,,,,,,,,5.582 ,,,,,,,,,,5.669 ,,,,,,,,,,5.745 ,,,,,,,,,,5.812 
